Timestamp,Detections,Risk Score,Decision,Item Count
2026-04-04 19:35:40,"Wrench, Pliers",17,LOW     — CLEARED (Log Only),2
2026-04-04 19:41:24,"Knife, Knife, Scissors, Scissors, Powerbank, Lighter",64,HIGH    — FLAG FOR INSPECTION,6
2026-04-04 19:41:39,"Knife, Knife, Scissors, Scissors, Powerbank",64,HIGH    — FLAG FOR INSPECTION,5
2026-04-05 01:29:49,"Pliers, HandCuffs",21,LOW     — CLEARED (Log Only),2
2026-04-05 01:30:39,Lighter,6,LOW     — CLEARED (Log Only),1
2026-04-05 09:58:04,"Gun, Gun, HandCuffs",80,CRITICAL — DETAIN CARGO IMMEDIATELY,3
2026-04-05 09:58:26,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 09:58:31,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 09:58:36,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 09:58:52,Knife,76,HIGH    — FLAG FOR INSPECTION,1
2026-04-05 09:59:14,"Gun, Gun, Bullet",81,CRITICAL — DETAIN CARGO IMMEDIATELY,3
2026-04-05 09:59:47,"Knife, Bullet, Powerbank, Lighter",80,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 09:59:59,"Knife, Powerbank",80,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 10:00:08,"Knife, Powerbank",80,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 10:00:12,"Knife, Bullet, Powerbank, Lighter",80,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 10:00:17,"Knife, Bullet, Powerbank, Lighter",80,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 10:00:20,"Knife, Bullet, Powerbank, Lighter",80,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 10:00:24,"Knife, Bullet, Powerbank, Lighter",80,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 10:50:10,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 10:50:27,"Gun, Scissors",80,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-05 10:50:50,Knife,60,HIGH    — FLAG FOR INSPECTION,1
2026-04-05 11:11:26,"Scissors, Scissors, Powerbank",41,MEDIUM  — MANUAL CHECK REQUIRED,3
2026-04-05 11:11:48,"Scissors, Powerbank",41,MEDIUM  — MANUAL CHECK REQUIRED,2
2026-04-05 11:12:01,"Scissors, Powerbank",41,MEDIUM  — MANUAL CHECK REQUIRED,2
2026-04-05 11:12:04,"Scissors, Powerbank",41,MEDIUM  — MANUAL CHECK REQUIRED,2
2026-04-05 11:12:07,"Scissors, Powerbank",41,MEDIUM  — MANUAL CHECK REQUIRED,2
2026-04-05 11:12:19,Lighter,12,LOW     — CLEARED (Log Only),1
2026-04-05 11:12:43,Pliers,23,LOW     — CLEARED (Log Only),1
2026-04-05 11:14:08,Lighter,4,LOW     — CLEARED (Log Only),1
2026-04-05 11:14:25,"Knife, Knife, Scissors, Powerbank",78,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 11:14:47,"Knife, Scissors",77,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 11:16:06,Knife,60,HIGH    — FLAG FOR INSPECTION,1
2026-04-05 11:16:18,"Gun, Bullet, Bullet, Bullet, Bullet, HandCuffs, Pliers, Lighter",80,CRITICAL — DETAIN CARGO IMMEDIATELY,8
2026-04-05 11:16:30,Lighter,14,LOW     — CLEARED (Log Only),1
2026-04-05 11:16:36,"Gun, Gun, HandCuffs",80,CRITICAL — DETAIN CARGO IMMEDIATELY,3
2026-04-05 11:16:43,Knife,60,HIGH    — FLAG FOR INSPECTION,1
2026-04-05 11:16:50,"Knife, Scissors",60,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 11:17:06,"Bullet, Powerbank",75,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 11:17:23,Lighter,2,LOW     — CLEARED (Log Only),1
2026-04-05 11:17:33,"Bullet, Bullet, Hammer",79,HIGH    — FLAG FOR INSPECTION,3
2026-04-05 11:17:42,"Bullet, Baton, Baton, HandCuffs",82,CRITICAL — DETAIN CARGO IMMEDIATELY,4
2026-04-05 11:18:09,"Scissors, Scissors, Lighter",6,LOW     — CLEARED (Log Only),3
2026-04-05 11:18:50,"Knife, Hammer",60,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 11:19:25,"Knife, Powerbank, Lighter",75,HIGH    — FLAG FOR INSPECTION,3
2026-04-05 11:19:42,"Baton, HandCuffs, Lighter",65,HIGH    — FLAG FOR INSPECTION,3
2026-04-05 11:19:52,Knife,60,HIGH    — FLAG FOR INSPECTION,1
2026-04-05 11:37:17,"Knife, Knife, Hammer, Pliers",60,HIGH    — FLAG FOR INSPECTION,4
2026-04-05 11:50:09,"Knife, Sprayer, Sprayer, Powerbank, Sprayer",66,HIGH    — FLAG FOR INSPECTION,5
2026-04-05 11:52:05,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 11:52:18,"Gun, Bullet",95,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-05 11:58:26,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:05:53,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:06:01,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:06:11,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:06:31,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:06:36,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:11:36,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:11:44,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:11:48,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:12:10,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:12:14,Wrench,29,LOW     — CLEARED (Log Only),1
2026-04-05 12:13:50,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:13:59,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:14:06,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:14:07,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 12:14:12,Scissors,36,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-05 14:44:19,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-05 14:45:48,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 14:49:31,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 14:49:36,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 14:49:46,Gun,90,CRITICAL — DETAIN CARGO IMMEDIATELY,1
2026-04-05 15:02:59,Gun,90,CRITICAL — DETAIN CARGO IMMEDIATELY,1
2026-04-05 15:17:51,Gun,90,CRITICAL — DETAIN CARGO IMMEDIATELY,1
2026-04-05 15:19:51,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 15:20:08,None,0,LOW     — CLEARED (Log Only),0
2026-04-05 15:20:47,"Knife, Powerbank",69,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 15:21:02,"Knife, Powerbank",69,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 15:21:14,"Knife, Powerbank",69,HIGH    — FLAG FOR INSPECTION,2
2026-04-05 15:21:21,"Knife, Powerbank",69,HIGH    — FLAG FOR INSPECTION,2
